"Day","Items","Note","Amount"
"81","Rental Expense","Cash Payment - RentalMiami","(1200)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"80","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(100)"
"80","Salary Expense","Cash Payment - Salary Expense","(26643)"
"80","Retail","Revenue - Retail Sales New York - Mouthwash","22754"
"80","Retail","Revenue - Retail Sales New York - Body Wash","28476"
"80","Retail","Revenue - Retail Sales New York - Shampoo","70686"
"80","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1792"
"80","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","3844"
"80","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","5481"
"80","Retail","Revenue - Retail Sales Chicago - Mouthwash","4774"
"80","Retail","Revenue - Retail Sales Chicago - Body Wash","7686"
"80","Retail","Revenue - Retail Sales Chicago - Shampoo","8645"
"80","Retail","Revenue - Retail Sales San Francisco - Mouthwash","704"
"80","Retail","Revenue - Retail Sales San Francisco - Body Wash","1550"
"80","Retail","Revenue - Retail Sales San Francisco - Shampoo","2709"
"80","Rental Expense","Cash Payment - RentalNew York","(8040)"
"80","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(822)"
